sentence,source,title,sentence_length,Kincaid,ARI,Coleman-Liau,FleschReadingEase,GunningFogIndex,LIX,SMOGIndex,RIX,DaleChallIndex,tobeverb,auxverb,conjunction,pronoun,preposition,nominalization,interrogative,article,subordination
"Democratisering van surveillance, toename van collectieve schade en sociale gevolgen:",AbstractiveSummEP,AISurveillance,12,15.45,18.424,24.751365400000005,2.1050000000000253,16.0,70.0,12.486832980505138,6.0,19.9225,0,0,0,0,0,1,0,0,0
deze ontwikkelingen zijn verweven en moeten als Ã©Ã©n geheel worden gezien.,AbstractiveSummEP,AISurveillance,16,8.541538461538462,7.533076923076923,9.965617692307696,56.978461538461566,14.430769230769233,28.384615384615387,12.486832980505138,2.0,20.0713,1,2,0,0,0,0,0,0,0
Fragmentatie en privatisering van politiewerk is al langer aan de gang.,AbstractiveSummEP,AISurveillance,12,11.22727272727273,9.760909090909088,13.581357818181822,34.16090909090911,11.672727272727274,38.27272727272727,10.745966692414834,3.0,17.10119090909091,1,0,0,0,0,1,0,0,0
Sinds het einde van de twintigste eeuw is er in het Westen een toename van samenwerking met de private sector.,AbstractiveSummEP,AISurveillance,21,8.140000000000004,9.765,9.179161500000003,72.32500000000002,10.0,40.0,8.477225575051662,4.0,18.050000000000004,1,0,0,0,0,1,0,0,1
Dit komt door de groei van de private sector en bezuinigingen in de publieke sector.,AbstractiveSummEP,AISurveillance,16,6.780000000000001,7.735999999999997,9.274025266666666,73.17000000000003,8.666666666666668,35.0,8.477225575051662,3.0,18.06516666666667,0,0,0,0,0,0,0,0,0
Technologische vooruitgang in big data en AI aan het begin van de 21ste eeuw heeft geleid tot meer macht voor technologiebedrijven.,AbstractiveSummEP,AISurveillance,22,11.142857142857142,13.741428571428571,13.58949742857143,52.57714285714289,12.20952380952381,35.285714285714285,10.745966692414834,3.0,18.212385714285716,0,1,0,0,0,0,0,0,0
Door 'surveillance kapitalisme' worden gegevens verzameld voor economische doeleinden.,AbstractiveSummEP,AISurveillance,12,20.697777777777777,22.32,29.910478777777783,-37.29999999999996,30.266666666666666,75.66666666666667,16.41640786499874,6.0,18.118455555555556,0,1,0,0,1,0,0,0,0
"Politiewerk is steeds meer 'platform policing', waarbij de politie gebruik maakt van digitale platformen en technologie.",AbstractiveSummEP,AISurveillance,20,14.250000000000004,16.301875000000003,19.466550437500004,21.39500000000002,18.900000000000002,72.25,15.24744871391589,9.0,18.24635,1,0,0,0,0,1,0,0,0
"Hierdoor wordt de politie afhankelijker van technologiebedrijven, wat een negatieve invloed heeft op transparantie en controle.",AbstractiveSummEP,AISurveillance,18,16.462500000000002,18.95125,22.773966625000007,5.5325000000000095,18.900000000000002,66.0,15.24744871391589,8.0,20.220100000000002,0,2,0,0,0,1,0,0,0
"Daarnaast is er een 'democratisering' van surveillance, waarbij een groter deel van de bevolking onder surveillance staat.",AbstractiveSummEP,AISurveillance,21,13.251764705882355,15.329999999999998,17.73787376470589,30.332941176470623,16.211764705882356,52.294117647058826,13.954451150103322,6.0,19.340876470588235,1,0,0,0,0,1,0,0,0
Dit vergroot het risico op machtsuitoefening door de staat en private actoren.,AbstractiveSummEP,AISurveillance,13,9.740000000000002,10.475000000000001,14.07276983333334,46.605000000000025,14.8,45.333333333333336,12.486832980505138,4.0,18.705866666666665,0,0,0,0,0,1,0,0,0
"Vroeger werden grootschalige surveillancepraktijken uitgevoerd door intelligentiediensten, maar nu spelen ook politiediensten en technologiebedrijven hierin een steeds grotere rol.",AbstractiveSummEP,AISurveillance,21,24.114736842105263,27.73315789473684,32.15650547368421,-43.98684210526315,20.231578947368423,61.10526315789474,16.41640786499874,8.0,19.53784736842105,0,1,0,0,0,0,0,0,0
"« is een voorbeeld van het toenemende gebruik van 'intelligent' cameratoezicht voor verschillende doeleinden, wat versterkt werd door de coronacrisis.",AbstractiveSummEP,AISurveillance,24,15.420000000000002,19.304736842105264,21.63466684210527,18.350000000000023,20.231578947368423,66.36842105263159,16.41640786499874,9.0,18.706794736842106,1,1,0,0,0,1,0,0,0
"Ook de infiltratie van het versleutelde Encrochat-netwerk, de gezichtsherkenningssoftware van Clearview AI die ook door de federale politie in BelgiÃ« werd getest, of de dataverzamelingspraktijken van Europol die door sommigen vergeleken worden met de surveillancepraktijken van de Amerikaanse NSA, zijn voorbeelden.",AbstractiveSummEP,AISurveillance,46,23.42439024390244,30.20195121951219,22.34193602439025,0.1468292682927057,26.15609756097561,75.14634146341464,20.320508075688775,14.0,18.764246341463412,1,2,0,0,0,1,0,0,0
"Daarnaast is er het gebruik van de spionagesoftware Pegasus om data te verzamelen van mobiele telefoons van activisten, politici en journalisten over de hele wereld.",AbstractiveSummEP,AISurveillance,27,16.816,17.257599999999996,15.70767636,19.028000000000024,19.6,65.0,16.41640786499874,10.0,19.4033,1,0,0,0,0,0,0,0,0
Ten slotte is er steeds meer sprake van collectieve en sociale schade naast individuele schade.,AbstractiveSummEP,AISurveillance,16,6.780000000000001,11.189999999999998,13.585916000000005,73.17000000000003,11.333333333333336,35.0,10.745966692414834,3.0,18.06516666666667,1,0,0,0,1,0,0,0,0
Big data-analyses vinden plaats op geaggregeerd niveau.,AbstractiveSummEP,AISurveillance,8,15.797142857142859,14.367142857142852,20.291420000000002,-5.727142857142819,19.942857142857143,35.57142857142857,12.486832980505138,2.0,17.517985714285714,0,0,0,0,0,0,0,0,0
Er worden geen persoonsgegevens verwerkt.,AbstractiveSummEP,AISurveillance,6,9.96,14.982,20.616667200000002,32.56000000000002,10.0,45.0,8.477225575051662,2.0,19.674500000000002,0,1,0,0,0,0,0,0,0
"Dit leidt tot een toename van sociale stratificatie, waarbij bepaalde groepen in de maatschappij onevenredig worden beÃ¯nvloed.",AbstractiveSummEP,AISurveillance,19,13.063333333333333,15.829999999999998,17.83456422222222,33.46500000000002,13.866666666666667,62.44444444444444,12.486832980505138,8.0,19.442077777777776,0,1,0,0,0,1,0,0,0
"Big data reproduceert onregelmatigheden en afwijkingen in datasets, wat kan leiden tot cumulatief nadeel voor kwetsbare groepen.",AbstractiveSummEP,AISurveillance,19,18.804705882352945,17.546470588235294,20.504862470588236,-9.478823529411759,20.917647058823533,58.1764705882353,16.41640786499874,7.0,18.41205294117647,0,1,0,0,0,0,0,0,0
"Dit komt duidelijk tot uiting bij predictive policing, waarbij politie herhaaldelijk naar dezelfde wijken wordt gestuurd, ongeacht het werkelijke misdaadcijfer.",AbstractiveSummEP,AISurveillance,23,16.99,21.069000000000003,23.290803900000007,8.875000000000014,22.0,75.0,17.491376746189438,11.0,20.4185,0,1,0,0,0,1,0,0,0
Dit leidt tot overpolicing en stigmatisering van bepaalde wijken en gemeenschappen.,AbstractiveSummEP,AISurveillance,12,14.445454545454545,14.899090909090908,19.995740727272732,11.088181818181845,15.309090909090907,47.36363636363637,12.486832980505138,4.0,19.972099999999998,0,0,0,0,0,1,0,0,0
Uitspraken over het gebruik van SyRI bevestigen dat big data-analyses risico's op discriminatie en stigmatisering met zich meebrengen.,AbstractiveSummEP,AISurveillance,19,17.904210526315797,16.577894736842104,18.230542578947365,0.5394736842105203,20.231578947368423,55.8421052631579,16.41640786499874,7.0,17.875742105263157,0,0,0,0,0,1,0,0,0
"Daarnaast toont de uitspraak ook aan dat big data-technologie sociale gevolgen heeft, zoals criminalisering van armoede en toename van ongelijkheid.",AbstractiveSummEP,AISurveillance,22,15.220000000000002,18.478499999999997,20.056885850000008,21.565000000000012,16.0,65.0,13.954451150103322,9.0,19.628999999999998,0,1,0,0,0,1,0,0,0
Bovenstaande drie ontwikkelingen zetten huidige controlemechanismen onder druk.,AbstractiveSummEP,AISurveillance,9,21.455000000000002,24.371250000000003,32.684463625,-44.509999999999984,13.200000000000001,58.0,10.745966692414834,4.0,19.823300000000003,0,0,0,0,0,0,0,0,0
"In deze bijdrage reflecteer ik over de vraag of huidige controlemechanismen hiermee om kunnen gaan, vanuit de lens van relationele ethiek.",AbstractiveSummEP,AISurveillance,23,12.828571428571426,15.087142857142858,15.269454857142858,40.4914285714286,14.114285714285714,49.57142857142857,12.486832980505138,6.0,18.212385714285716,0,1,0,0,1,0,0,0,0
Het huidige juridische kader is niet voldoende om de drie sociotechnische ontwikkelingen te beheersen en effectieve democratische waarborgen te bieden.,AbstractiveSummEP,AISurveillance,21,15.810000000000002,19.420499999999997,21.232856050000002,17.335000000000022,22.0,65.0,17.491376746189438,9.0,19.628999999999998,1,0,0,1,0,1,0,1,0
De regels voor gegevensbescherming vormen het juridische kader.,AbstractiveSummEP,AISurveillance,9,12.605000000000004,14.951250000000002,20.924761625000002,18.940000000000033,13.200000000000001,33.0,10.745966692414834,2.0,19.823300000000003,0,0,0,0,0,1,0,1,0
"De huidige controle-instrumenten voor AI-gegevensverwerking, zoals toezichthouders, functionarissen voor gegevensbescherming en DPIA's, hebben een beperkte reikwijdte.",AbstractiveSummEP,AISurveillance,20,19.49882352941177,27.79764705882353,33.30218523529412,-14.455294117647018,16.211764705882356,64.05882352941177,13.954451150103322,8.0,20.2697,0,1,0,0,0,1,0,1,0
De focus ligt voornamelijk op informatieveiligheid en de formele naleving van de wet.,AbstractiveSummEP,AISurveillance,14,10.356923076923078,11.156153846153849,14.488579999999999,43.96307692307695,14.430769230769233,43.769230769230774,12.486832980505138,4.0,18.856684615384616,0,0,0,0,0,1,0,1,0
"Er wordt te weinig aandacht besteed aan de bescherming van fundamentele rechten, met name artikel 8 van het EVRM.",AbstractiveSummEP,AISurveillance,21,7.346315789473689,11.124210526315785,11.422294052631578,76.2342105263158,13.915789473684212,50.578947368421055,12.486832980505138,6.0,18.706794736842106,0,1,0,0,0,1,0,0,0
"De manier waarop deze instrumenten in BelgiÃ« werken is niet democratisch, omdat burgers en het middenveld niet betrokken worden.",AbstractiveSummEP,AISurveillance,22,13.556842105263158,14.842631578947369,16.064281684210528,31.70789473684212,16.02105263157895,45.315789473684205,13.954451150103322,5.0,18.706794736842106,1,1,0,0,0,0,0,1,0
"Bovendien is de politie niet verplicht DPIA's te publiceren, waardoor publieke controle moeilijk wordt.",AbstractiveSummEP,AISurveillance,16,9.92666666666667,13.387999999999998,16.329846466666673,50.610000000000014,14.0,68.33333333333334,12.486832980505138,8.0,19.117833333333333,1,1,0,0,0,1,0,0,0
Er zijn ook geen standaarden waaraan DPIA's moeten voldoen.,AbstractiveSummEP,AISurveillance,10,2.4700000000000024,6.649000000000001,10.051737900000003,95.16500000000002,8.0,40.0,8.477225575051662,3.0,19.9225,1,1,0,0,0,0,0,0,0
Er zijn geen standaardprofielen voor gegevensbescherming.,AbstractiveSummEP,AISurveillance,7,14.283333333333335,21.604999999999997,29.246716166666673,3.3450000000000024,15.733333333333333,39.333333333333336,10.745966692414834,2.0,19.7241,1,0,0,0,0,1,0,0,0
Het huidige wetgevende kader beperkt zich tot algoritmische surveillance die persoonsgegevens verzamelt en verwerkt.,AbstractiveSummEP,AISurveillance,15,15.99857142857143,19.885714285714286,24.924733285714296,5.296428571428587,19.885714285714286,71.14285714285714,15.24744871391589,8.0,18.99304285714286,0,0,0,1,0,1,0,1,0
De EU heeft een voorstel voor een AI-wet gepubliceerd met twee doelen:,AbstractiveSummEP,AISurveillance,13,3.84,7.334999999999997,10.152869166666669,88.905,8.133333333333333,28.666666666666668,8.477225575051662,2.0,18.705866666666665,0,1,0,0,0,0,0,1,0
het beschermen van de grondrechten van het individu tegen de nadelige gevolgen van AI en het harmoniseren van de regelgeving van lidstaten om mogelijke handelsbelemmeringen op de interne markt weg te nemen.,AbstractiveSummEP,AISurveillance,33,17.90875,20.180625,15.246283312500005,23.661250000000017,25.3,66.375,20.320508075688775,11.0,21.0137,0,0,0,1,0,1,0,1,0
De schadelijke effecten van AI worden ingedeeld in risicocategorieÃ«n van laag naar hoog.,AbstractiveSummEP,AISurveillance,16,10.098571428571429,10.802142857142854,13.585020642857145,47.596428571428596,17.02857142857143,42.57142857142857,13.954451150103322,4.0,18.99304285714286,0,1,0,0,0,0,0,1,0
"De verordening gaat ook over risico's voor de samenleving, naast risico's voor het individu.",AbstractiveSummEP,AISurveillance,16,9.825,8.648125,9.9117925625,53.12000000000002,18.900000000000002,34.75,15.24744871391589,3.0,19.233225,0,0,0,0,0,1,0,1,0
Verordening maakt niet duidelijk wat risico's zijn.,AbstractiveSummEP,AISurveillance,8,8.180000000000003,7.88625,12.104985125000002,50.66500000000003,13.200000000000001,33.0,10.745966692414834,2.0,19.823300000000003,1,0,0,0,0,1,0,0,0
Wat betreft controle- en handhavingsmechanismen is de verordening hoopvol.,AbstractiveSummEP,AISurveillance,10,14.142222222222227,16.563333333333333,22.72399422222223,9.700000000000008,12.488888888888889,64.55555555555556,10.745966692414834,5.0,18.118455555555556,1,0,0,0,0,1,1,0,0
Lidstaten moeten autoriteiten aanwijzen voor toezicht en als contactpunt voor publiek.,AbstractiveSummEP,AISurveillance,12,14.445454545454545,16.183636363636367,21.59933645454546,11.088181818181845,15.309090909090907,65.54545454545455,12.486832980505138,6.0,19.972099999999998,0,1,0,0,0,0,0,0,0
Handhavingsmechanismen kunnen versterkt worden door Europees coÃ¶rdinatiemechanisme met nieuwe eisen.,AbstractiveSummEP,AISurveillance,11,20.88181818181818,22.60636363636364,29.617315090909095,-35.05727272727268,8.036363636363637,47.36363636363637,8.477225575051662,4.0,17.10119090909091,0,2,0,0,0,0,0,0,0
Systeem voor registratie van hoog risico AI-toepassingen in openbare databank.,AbstractiveSummEP,AISurveillance,11,15.45,15.597999999999999,21.223454800000006,2.1050000000000253,20.0,60.0,13.954451150103322,5.0,18.3435,0,0,0,0,0,1,0,0,0
Toegelaten op Europese markt als voldoen aan voorschriften en voorafgaande beoordeling.,AbstractiveSummEP,AISurveillance,12,14.445454545454545,16.61181818181818,22.133868363636367,11.088181818181845,15.309090909090907,65.54545454545455,12.486832980505138,6.0,19.972099999999998,0,0,0,0,0,1,0,0,0
Manier waarop beoordelingen toegepast en gehandhaafd blijft vaag.,AbstractiveSummEP,AISurveillance,9,14.080000000000002,16.128749999999997,22.394724375000003,8.365000000000014,18.2,45.5,12.486832980505138,3.0,19.823300000000003,0,0,0,0,0,0,0,0,0
Hoe de conformiteitsmechanismen eruit zullen zien is onduidelijk.,AbstractiveSummEP,AISurveillance,9,15.555000000000003,16.128749999999997,22.394724375000003,-2.209999999999974,13.200000000000001,33.0,10.745966692414834,2.0,15.875800000000002,1,1,0,0,0,0,1,0,0
"De verordening schiet tekort op democratisch vlak, omdat burgers of het middenveld niet betrokken worden.",AbstractiveSummEP,AISurveillance,17,12.286666666666669,14.015999999999998,17.113826600000003,33.690000000000026,16.666666666666668,48.333333333333336,13.954451150103322,5.0,19.117833333333333,0,1,0,0,0,1,0,1,0
Bovendien kunnen burgers geen klacht indienen bij de nationale toezichthoudende autoriteit als zij denken dat de wet niet wordt nageleefd.,AbstractiveSummEP,AISurveillance,21,14.040000000000003,16.359,17.410952900000005,30.02500000000002,18.0,55.0,15.24744871391589,7.0,19.628999999999998,0,2,0,0,0,1,0,0,0
"Relationele ethiek, geÃ¯nspireerd door Ubuntufilosofie, kan ons helpen om op een andere manier na te denken over controle in de algoritmische politiepraktijk.",AbstractiveSummEP,AISurveillance,25,15.953913043478263,17.30608695652174,16.913670043478263,21.646521739130463,12.678260869565218,49.086956521739125,10.745966692414834,6.0,18.507734782608697,0,1,0,0,0,0,0,0,0
Deze filosofie heeft zijn oorsprong in Afrikaanse landen ten zuiden van de Sahara.,AbstractiveSummEP,AISurveillance,14,8.541538461538462,10.069230769230767,13.131691307692307,56.978461538461566,8.276923076923078,36.07692307692308,8.477225575051662,3.0,17.64206923076923,1,1,0,0,0,0,0,0,0
"In tegenstelling tot traditionele rationele ethiek, waarbij personen menselijke waardigheid hebben door hun vermogen tot autonomie, heeft Ubuntufilosofie mensen menselijke waardigheid omdat ze de capaciteit hebben om zich tot de andere te verhouden op een gezamenlijke manier.",AbstractiveSummEP,AISurveillance,40,23.077837837837837,27.23945945945946,21.06236916216217,-4.492972972972943,28.854054054054053,77.54054054054055,22.748417658131498,15.0,20.408186486486485,0,3,0,0,1,1,0,0,0
"Mensenrechtenschendingen richten zich op het schaden van het vermogen van mensen tot gemeenschappelijke betrekkingen, opgevat als identiteit en solidariteit.",AbstractiveSummEP,AISurveillance,21,20.388421052631582,22.031578947368423,25.038791105263165,-17.271052631578925,20.231578947368423,66.36842105263159,16.41640786499874,9.0,20.368900000000004,0,0,0,0,0,0,0,0,0
Mensenwaardigheid is het vermogen om met anderen op een gemeenschappelijke manier om te gaan.,AbstractiveSummEP,AISurveillance,15,11.784285714285716,12.147857142857141,15.264978071428576,35.51071428571431,14.171428571428573,42.57142857142857,12.486832980505138,4.0,17.865185714285715,1,0,0,0,0,1,0,0,0
"Computerwetenschappers die zich laten inspireren door de Ubuntu-filosofie, stellen een fundamentele verandering voor in het denken over algoritmische onrechtvaardigheid en AI-bestuur, van rationele naar relationele ethiek.",AbstractiveSummEP,AISurveillance,29,23.142307692307693,26.713846153846156,26.933958076923076,-24.54730769230765,21.16923076923077,68.3076923076923,17.491376746189438,11.0,18.28686923076923,0,0,0,0,0,1,0,0,0
"Volgens Birhane is relationele ethiek een kader dat ons aanzet om onze onderliggende werkhypothesen te herzien, machtsasymmetrieÃ«n te onderzoeken en de bredere context te bekijken waaruit algoritmische systemen voortkomen.",AbstractiveSummEP,AISurveillance,33,19.710000000000004,23.714000000000006,20.843999733333327,7.185000000000024,24.0,80.0,19.431676725154983,15.0,20.38816666666667,1,0,0,0,1,1,0,0,0
"Dit betekent dat schade en onrechtvaardigheid die door algoritmische systemen worden veroorzaakt, niet losgezien kunnen worden van de filosofische beginselen van de technologie en de economische, politieke en sociale structuren die het vormgeven.",AbstractiveSummEP,AISurveillance,36,21.237575757575758,25.18545454545454,20.898022696969697,1.5763636363636593,28.957575757575757,75.42424242424242,22.748417658131498,14.0,19.627845454545458,0,3,0,0,0,1,0,0,0
Hoe kan deze visie worden gecombineerd met het politie- en justitieapparaat dat steeds meer surveillance en samenwerking met de private sector vraagt?,AbstractiveSummEP,AISurveillance,23,14.444545454545459,16.759545454545453,16.797095863636365,30.686818181818197,17.89090909090909,49.27272727272727,15.24744871391589,6.0,18.364518181818184,0,2,0,0,0,1,1,0,0
Dit impliceert dat ook politiewerk vanuit dezelfde ethiek zou moeten vertrekken.,AbstractiveSummEP,AISurveillance,12,12.3,13.614545454545457,18.392145,26.47000000000002,15.309090909090907,47.36363636363637,12.486832980505138,4.0,19.972099999999998,0,2,0,0,0,0,0,0,0
Politie moet collectieve veiligheid beschermen in plaats van alleen criminaliteit en publieke orde.,AbstractiveSummEP,AISurveillance,14,13.98769230769231,16.228461538461538,20.82072723076923,17.93230769230771,17.50769230769231,59.15384615384615,13.954451150103322,6.0,18.856684615384616,0,1,0,0,0,1,0,0,0
"Vaak gaat het niet meer om veiligheid, maar om politieke motieven.",AbstractiveSummEP,AISurveillance,13,6.936363636363637,7.191818181818181,10.374166363636366,64.9245454545455,15.309090909090907,38.27272727272727,12.486832980505138,3.0,19.972099999999998,0,0,0,0,0,1,0,0,0
Dit is 'surveillance theater'.,AbstractiveSummEP,AISurveillance,7,6.620000000000001,8.829999999999998,12.081482000000001,54.72500000000002,11.600000000000001,54.0,8.477225575051662,2.0,11.7299,1,0,0,0,0,0,0,0,0
Er moet meer aandacht besteed worden aan andere oorzaken van onveiligheid.,AbstractiveSummEP,AISurveillance,12,9.081818181818182,11.045454545454547,15.184953545454555,49.542727272727284,11.672727272727274,47.36363636363637,10.745966692414834,4.0,19.972099999999998,0,2,0,0,0,1,0,0,0
Veiligheid is meer dan alleen bescherming tegen criminaliteit.,AbstractiveSummEP,AISurveillance,9,14.080000000000002,14.362500000000004,20.18978025,8.365000000000014,13.200000000000001,45.5,10.745966692414834,3.0,17.84955,1,0,0,0,0,1,0,0,0
"Gezond eten, schoon water, huisvesting, basisinkomen, gezondheidszorg, onderwijs en werk zijn basisrechten.",AbstractiveSummEP,AISurveillance,18,17.606666666666666,19.895000000000003,25.832471833333337,-9.794999999999952,21.46666666666667,53.666666666666664,15.24744871391589,5.0,18.705866666666665,1,0,0,0,0,1,0,0,0
"Ook het niet worden gediscrimineerd, gepest, gehaat, geweld en disproportionele overheidscontrole.",AbstractiveSummEP,AISurveillance,15,17.663636363636368,20.03727272727273,26.410123636363636,-11.984545454545447,15.309090909090907,38.27272727272727,12.486832980505138,3.0,19.972099999999998,0,1,0,0,0,0,0,0,0
Deze sociale en economische rechten worden vaak niet meegenomen in het veiligheidsbeleid.,AbstractiveSummEP,AISurveillance,13,13.673333333333336,14.792499999999997,19.462633250000003,18.40500000000001,14.8,53.666666666666664,12.486832980505138,5.0,18.705866666666665,0,1,0,0,0,0,0,0,0
"Encryptie is belangrijk om mensenrechten en kwetsbaren te beschermen, omdat achterdeuren in technologie de veiligheid van activisten en journalisten in gevaar brengen.",AbstractiveSummEP,AISurveillance,24,18.19909090909091,20.39909090909091,21.34061709090909,3.7686363636363893,25.163636363636368,72.0,19.431676725154983,11.0,18.364518181818184,1,0,0,0,0,1,0,0,0
"Om de meest kwetsbaren te beschermen, moeten de mazen van het net verfijnd worden.",AbstractiveSummEP,AISurveillance,16,5.041428571428572,8.110714285714284,10.225105785714288,83.85357142857144,11.314285714285715,35.42857142857143,10.745966692414834,3.0,18.99304285714286,0,2,0,0,1,0,0,0,0
"Als we kijken naar controle- en handhavingsmechanismen voor algoritmische surveillance, dan blijkt dat het 'rationele' kader, gebaseerd op gegevensbescherming, tekort schiet.",AbstractiveSummEP,AISurveillance,27,16.761904761904763,22.04,23.94923490476191,12.291428571428611,19.82857142857143,54.333333333333336,16.41640786499874,7.0,19.71619523809524,0,0,0,0,0,1,0,0,1
"Het kader gaat uit van mondige betrokkenen die hun rechten individueel kunnen beschermen, zonder rekening te houden met kwetsbare groepen.",AbstractiveSummEP,AISurveillance,22,15.220000000000002,16.1235,17.116960350000006,21.565000000000012,16.0,60.0,13.954451150103322,8.0,18.8395,0,1,0,1,0,1,0,1,0
Niet iedereen is gelijk.,AbstractiveSummEP,AISurveillance,5,6.620000000000001,4.120000000000001,6.201631000000006,54.72500000000002,11.600000000000001,29.0,8.477225575051662,1.0,15.6774,1,0,0,0,0,0,0,0,0
"Er zijn verschillende meningen, kennisniveaus, besluitvaardigheid, bereidheid om informatie te delen en kwetsbare eigenschappen.",AbstractiveSummEP,AISurveillance,18,18.52714285714286,22.91357142857143,28.704637500000004,-12.832142857142818,25.6,71.14285714285714,17.491376746189438,8.0,20.1209,1,0,0,0,0,1,0,0,0
"Leeftijd, verstandelijke vermogens, armoede, geletterdheid of geslacht kunnen invloed hebben op het genieten en uitoefenen van individuele rechten op gegevensbescherming.",AbstractiveSummEP,AISurveillance,24,20.530000000000005,23.188499999999998,25.93673685000001,-16.50499999999998,22.0,80.0,17.491376746189438,12.0,19.628999999999998,0,2,0,0,0,1,0,0,0
